tier,event,women_scy,women_lcm,men_scy,men_lcm
qualifying,50 Free,23.29,26.89,20.49,24.09
qualifying,100 Free,50.39,58.19,44.89,52.59
qualifying,200 Free,1:49.09,2:04.99,1:38.39,1:55.29
qualifying,400/500 Free,4:53.59,4:26.69,4:28.79,4:04.99
qualifying,800/1000 Free,10:11.49,9:06.79,9:22.69,8:28.19
qualifying,1500/1650 Free,17:02.19,17:26.79,15:40.39,16:14.79
qualifying,100 Back,55.09,1:04.79,49.19,58.79
qualifying,200 Back,1:59.39,2:19.59,1:47.79,2:08.29
qualifying,100 Breast,1:03.09,1:13.79,55.49,1:05.89
qualifying,200 Breast,2:17.19,2:38.59,2:01.59,2:24.09
qualifying,100 Fly,54.69,1:02.69,48.69,56.49
qualifying,200 Fly,2:01.69,2:18.39,1:49.09,2:06.39
qualifying,200 IM,2:02.19,2:22.09,1:49.59,2:09.29
qualifying,400 IM,4:21.69,5:00.29,3:56.49,4:35.89
qualifying,200 Free Relay,-,-,-,-
qualifying,400 Free Relay,3:27.49,3:58.09,3:05.79,3:35.79
qualifying,800 Free Relay,7:32.79,8:35.09,6:49.59,7:52.39
qualifying,200 Medley Relay,-,-,-,-
qualifying,400 Medley Relay,3:47.79,4:24.19,3:23.39,3:58.69
bonus,50 Free,23.89,27.39,21.29,24.59
bonus,100 Free,51.89,59.29,46.39,53.59
bonus,200 Free,1:52.29,2:07.79,1:41.59,1:57.79
bonus,400/500 Free,5:02.59,4:28.79,4:37.09,4:09.99
bonus,800/1000 Free,10:20.49,9:13.79,9:34.29,8:40.69
bonus,1500/1650 Free,17:14.39,17:40.19,16:05.49,16:38.99
bonus,100 Back,57.09,1:06.79,51.49,1:00.59
bonus,200 Back,2:04.19,2:23.99,1:52.79,2:11.89
bonus,100 Breast,1:05.49,1:15.99,57.99,1:08.19
bonus,200 Breast,2:22.69,2:43.39,2:07.99,2:29.09
bonus,100 Fly,56.59,1:04.69,50.59,57.99
bonus,200 Fly,2:05.39,2:21.89,1:53.69,2:10.19
bonus,200 IM,2:06.39,2:26.19,1:53.89,2:12.79
bonus,400 IM,4:30.69,5:07.29,4:06.99,4:42.39
