tier,event,women_scy,women_lcm,men_scy,men_lcm
qualifying,50 Free,22.49,26.19,19.69,23.29
qualifying,100 Free,48.99,56.79,43.09,50.89
qualifying,200 Free,1:45.99,2:03.09,1:34.99,1:51.99
qualifying,400/500 Free,4:44.49,4:20.29,4:19.89,3:59.09
qualifying,800/1000 Free,9:53.19,8:56.79,9:04.79,8:15.39
qualifying,1500/1650 Free,16:24.29,17:07.99,15:07.99,15:51.39
qualifying,50 Back,24.39,29.19,21.49,26.09
qualifying,100 Back,52.99,1:03.29,46.99,56.89
qualifying,200 Back,1:55.39,2:16.99,1:43.29,2:04.59
qualifying,50 Breast,27.99,33.19,24.39,29.19
qualifying,100 Breast,1:00.79,1:11.79,53.29,1:03.69
qualifying,200 Breast,2:11.99,2:35.49,1:56.39,2:19.39
qualifying,50 Fly,24.09,28.19,21.19,24.89
qualifying,100 Fly,52.79,1:01.39,46.69,54.69
qualifying,200 Fly,1:57.49,2:16.49,1:44.79,2:02.99
qualifying,200 IM,1:58.39,2:19.09,1:45.39,2:05.49
qualifying,400 IM,4:13.69,4:56.09,3:47.69,4:28.89
bonus,50 Free,22.99,26.59,20.39,23.79
bonus,100 Free,49.99,57.69,44.39,51.99
bonus,200 Free,1:48.19,2:04.99,1:37.59,1:54.09
bonus,400/500 Free,4:49.99,4:23.59,4:25.59,4:02.19
bonus,800/1000 Free,10:04.69,9:06.79,9:13.19,8:23.09
bonus,1500/1650 Free,16:50.99,17:26.79,15:31.39,16:05.09
bonus,50 Back,25.09,29.69,22.29,26.69
bonus,100 Back,54.39,1:04.29,48.59,58.19
bonus,200 Back,1:58.19,2:19.29,1:46.49,2:06.99
bonus,50 Breast,28.49,33.69,25.09,29.59
bonus,100 Breast,1:02.39,1:13.29,54.99,1:05.09
bonus,200 Breast,2:15.39,2:38.59,2:00.39,2:22.39
bonus,50 Fly,24.69,28.39,21.89,25.39
bonus,100 Fly,54.09,1:02.49,48.19,55.89
bonus,200 Fly,2:00.49,2:18.39,1:47.89,2:05.09
bonus,200 IM,2:01.09,2:21.29,1:48.49,2:07.99
bonus,400 IM,4:18.79,5:00.29,3:52.69,4:33.09
